Nuclide,emission probability,sigma emission probability,half_life,sigma half_life
La154,0.195843784,1e-12,0.228,0.0
Al39,0.5,1e-12,7.6e-06,1.6e-06
Cd127,0.00055464,1e-12,0.37,0.07
I141,0.212,0.03,0.43,0.02
Sr104,0.083926030984,1e-12,0.043,0.0
In133_m1,1.00035078,1e-12,0.18,0.015
Na30,0.323,1e-12,0.048,0.002
Ag130,0.810286,1e-12,0.05,0.005
Xe144,0.0074592,1e-12,1.15,0.2
Cs141,0.00035,3.0000000000000018e-05,24.84,0.17
Al42,0.5,1e-12,1.7e-07,0.0
Si40,0.5,1e-12,0.033,0.001
Al35,0.41,1e-12,0.0386,0.0004
F29,1.0,1e-12,0.0025,0.0004
Cl45,0.24,1e-12,0.413,0.025
P42,0.5,1e-12,0.0485,0.0015
Ag127,0.050591,1e-12,0.109,0.025
Se90,0.0082594,1e-12,0.161,0.0
Ag120,7.4466e-10,1e-12,1.23,0.04
La150,0.027,0.003,0.86,0.05
Sr102,0.055,0.015,0.069,0.006
Nb110,0.19617178,1e-12,0.17,0.02
He7,1.0,1e-12,3.038e-21,4.05066e-22
C17,0.32,1e-12,0.193,0.013
Ar49,0.65,1e-12,0.17,0.05
Rb101,0.32368186,1e-12,0.032,0.005
Al36,0.31,1e-12,0.09,0.04
Xe142,0.0021,0.0006,1.23,0.02
Ag128,0.06100289844,1e-12,0.058,0.005
Cs142,0.0009,4.000000000000002e-05,1.684,0.014
Sn133,0.000294,2.4000000000000024e-05,1.46,0.03
Y106,0.2445488,1e-12,0.066,0.0
Cs144,0.0303,0.0013,0.994,0.006
Si44,0.5,1e-12,3.6e-07,0.0
Br94,0.8916270000000001,1e-12,0.07,0.02
I144,0.3703069,1e-12,0.194,0.0
V57,0.0004,1e-12,0.35,0.01
In131_m2,0.0013348,1e-12,0.32,0.06
P39,0.26,1e-12,0.28,0.04
Si43,0.5,1e-12,6e-08,0.0
N17,0.951,0.007,4.171,0.003
In130,0.0093,0.0013,0.29,0.02
Mg38,0.5,1e-12,2.6e-07,0.0
Y98,0.00331,0.00024,0.548,0.002
C19,0.61,1e-12,0.049,0.004
Sn135,1.015048,1e-12,0.53,0.02
Na33,0.73,1e-12,0.008,0.0003
Rh123,0.13358000187596,1e-12,0.0489,0.0
Mg33,0.17,1e-12,0.0905,0.0016
He10,1.0,1e-12,1.519e-21,1.01266e-21
N24,1.0,1e-12,5.2e-08,0.0
Cu81,1.05038417702,1e-12,0.028,0.0
Rb96,0.133,0.007,0.203,0.003
As84,0.0018,0.001,4.2,0.5
Ni73,0.0056773,1e-12,0.84,0.03
Ne26,0.0013,1e-12,0.197,0.001
Rb92,0.000107,5.0000000000001e-06,4.492,0.02
La151,0.055279,1e-12,0.778,0.0
In131_m1,0.02,0.003,0.35,0.05
P41,0.3,1e-12,0.1,0.005
Pm160,0.0018985,1e-12,1.561,0.0
Ge84,0.102,0.009,0.954,0.014
Sn136,1.00051958,1e-12,0.25,0.03
Cd131,0.6817900015491,1e-12,0.068,0.003
La152,0.078337,1e-12,0.451,0.0
Mg31,0.017,1e-12,0.232,0.015
Sb137,1.0002865,1e-12,0.45,0.05
K50,0.29,1e-12,0.472,0.004
Ba150,0.01,0.005,0.3,0.0
La153,0.53655,1e-12,0.342,0.0
Pd124,0.0012879,1e-12,0.038,0.0285
Si36,0.1,1e-12,0.45,0.06
Br88,0.0658,0.0018,16.29,0.06
In129_m1,0.025,0.005,1.23,0.03
Zn83,0.0868375,1e-12,0.043,0.0
Te137,0.0299,0.0016,2.49,0.05
O26,1.0,1e-12,4e-08,0.0
I138,0.0556,0.0022,6.23,0.03
Y107,0.35347412,1e-12,0.03,0.003
Cs148,0.21879252000000002,1e-12,0.146,0.006
Nb109,0.31,0.05,0.19,0.03
Ga83,0.74327020958,1e-12,0.3081,0.001
K49,0.86,1e-12,1.26,0.05
Te141,0.04030956,1e-12,0.213,0.0
La147,0.00041,4.000000000000002e-05,4.06,0.04
Eu165,0.0027536,1e-12,2.3,0.2
Al38,0.5,1e-12,0.0076,0.0006
Tl210,8.5e-05,5.500000000000001e-05,78.0,1.8
As89,1.00075834,1e-12,0.059,0.0
Sr101,0.0237,0.0014,0.118,0.003
Sr105,0.1897806,1e-12,0.0556,0.0
Pm161,0.0029297,1e-12,1.065,0.0
Cu73,0.00029,6.000000000000001e-05,4.2,0.3
Zn82,0.34116991282040005,1e-12,0.052,0.0
H6,1.0,1e-12,2.84812e-22,7.12031e-23
V65,0.5,1e-12,0.01,0.001
Sb136,0.487063,1e-12,0.923,0.014
Cs145,0.147,0.009,0.587,0.005
Ge89,0.2423608014328,1e-12,0.039,0.0
