633.0  0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
700.0  0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
800.0  0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
900.0  0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1000.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1100.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1200.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1300.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1400.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1500.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1600.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1700.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1800.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
1900.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
2000.0 0.01248393746	0.02912894645	0.05453684151	0.1613567328	0.3847274105	1.8796247
