633.0  0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
700.0  0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
800.0  0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
900.0  0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1000.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1100.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1200.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1300.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1400.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1500.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1600.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1700.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1800.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
1900.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
2000.0 0.01245774085	0.02819150208	0.0421299977	0.09386545094	0.1240746149	0.1910720296	0.3097670059	0.4915438748	1.002998473	1.770318476	3.672267343	7.808951773
